System initialized

Reading in Gromacs topology "system_GMX.top"...
Topology loaded

Reading in Gromacs structure "system_GMX.gro"...
Structure loaded

Writing Gromacs structure file...
Finished writing "system_GMX_out.gro"

Writing Gromacs topology file...
Finished writing "system_GMX_out.top"

         31370901 function calls (28826149 primitive calls) in 30.697 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 repr.py:10(__init__)
        1    0.000    0.000    0.000    0.000 repr.py:8(Repr)
        7    0.000    0.000    0.000    0.000 sre_compile.py:178(_compile_charset)
        7    0.000    0.000    0.000    0.000 sre_compile.py:207(_optimize_charset)
       11    0.000    0.000    0.000    0.000 sre_compile.py:24(_identityfunction)
        1    0.000    0.000    0.000    0.000 sre_compile.py:258(_mk_bitmap)
     95/4    0.001    0.000    0.002    0.000 sre_compile.py:32(_compile)
       24    0.000    0.000    0.000    0.000 sre_compile.py:354(_simple)
        4    0.000    0.000    0.001    0.000 sre_compile.py:361(_compile_info)
        8    0.000    0.000    0.000    0.000 sre_compile.py:474(isstring)
        4    0.000    0.000    0.002    0.001 sre_compile.py:480(_code)
        4    0.000    0.000    0.009    0.002 sre_compile.py:495(compile)
      117    0.000    0.000    0.000    0.000 sre_parse.py:126(__len__)
      513    0.000    0.000    0.001    0.000 sre_parse.py:130(__getitem__)
       24    0.000    0.000    0.000    0.000 sre_parse.py:134(__setitem__)
      301    0.000    0.000    0.000    0.000 sre_parse.py:138(append)
   119/28    0.001    0.000    0.001    0.000 sre_parse.py:140(getwidth)
        4    0.000    0.000    0.000    0.000 sre_parse.py:178(__init__)
     1742    0.002    0.000    0.002    0.000 sre_parse.py:182(__next)
      328    0.000    0.000    0.000    0.000 sre_parse.py:195(match)
     1564    0.001    0.000    0.003    0.000 sre_parse.py:201(get)
        4    0.000    0.000    0.000    0.000 sre_parse.py:205(tell)
      257    0.000    0.000    0.000    0.000 sre_parse.py:210(isident)
       30    0.000    0.000    0.000    0.000 sre_parse.py:216(isname)
        6    0.000    0.000    0.000    0.000 sre_parse.py:225(_class_escape)
       14    0.000    0.000    0.000    0.000 sre_parse.py:257(_escape)
     43/4    0.000    0.000    0.007    0.002 sre_parse.py:301(_parse_sub)
    69/10    0.002    0.000    0.007    0.001 sre_parse.py:379(_parse)
        4    0.000    0.000    0.007    0.002 sre_parse.py:663(parse)
        4    0.000    0.000    0.000    0.000 sre_parse.py:67(__init__)
       32    0.000    0.000    0.000    0.000 sre_parse.py:72(opengroup)
       32    0.000    0.000    0.000    0.000 sre_parse.py:83(closegroup)
       99    0.000    0.000    0.000    0.000 sre_parse.py:90(__init__)
        1    0.000    0.000    0.000    0.000 standard_dimensions.py:6(<module>)
        1    0.001    0.001   30.697   30.697 testGMX.py:1(<module>)
        1    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
      555    0.001    0.000    0.003    0.000 unit.py:100(iter_all_base_units)
      583    0.001    0.000    0.003    0.000 unit.py:112(iter_top_base_units)
      668    0.000    0.000    0.000    0.000 unit.py:121(iter_scaled_units)
      698    0.001    0.000    0.004    0.000 unit.py:125(iter_base_or_scaled_units)
        2    0.000    0.000    0.000    0.000 unit.py:131(get_conversion_factor_to_base_units)
  1034793    0.610    0.000    1.597    0.000 unit.py:144(__eq__)
       10    0.000    0.000    0.000    0.000 unit.py:149(__ne__)
  2817314    0.635    0.000    0.638    0.000 unit.py:164(__hash__)
       19    0.000    0.000    0.004    0.000 unit.py:178(__div__)
        1    0.000    0.000    0.000    0.000 unit.py:19(Unit)
   142065    0.281    0.000    0.386    0.000 unit.py:194(__pow__)
      329    0.006    0.000    0.009    0.000 unit.py:23(__init__)
    44193    0.114    0.000    0.160    0.000 unit.py:267(is_compatible)
   290165    0.391    0.000    0.530    0.000 unit.py:297(is_dimensionless)
   176476    0.247    0.000    0.338    0.000 unit.py:313(conversion_factor_to)
       81    0.001    0.000    0.003    0.000 unit.py:411(get_name)
        1    0.000    0.000    0.000    0.000 unit.py:461(ScaledUnit)
      153    0.001    0.000    0.005    0.000 unit.py:468(__init__)
      914    0.001    0.000    0.002    0.000 unit.py:486(__iter__)
      724    0.000    0.000    0.002    0.000 unit.py:490(iter_base_units)
      190    0.000    0.000    0.001    0.000 unit.py:494(iter_base_dimensions)
       46    0.000    0.000    0.001    0.000 unit.py:502(get_dimension_tuple)
        6    0.000    0.000    0.000    0.000 unit.py:513(conversion_factor_to)
        1    0.000    0.000    0.000    0.000 unit.py:543(UnitSystem)
        4    0.000    0.000    0.023    0.006 unit.py:544(__init__)
        1    0.001    0.001    0.001    0.001 unit.py:6(<module>)
  1893463    0.866    0.000    1.675    0.000 unit.py:632(is_unit)
       12    0.000    0.000    0.002    0.000 unit.py:66(create_unit)
       80    0.000    0.000    0.001    0.000 unit.py:88(iter_base_dimensions)
